t2m,tcc,lcc,mcc,hcc,valid_time,ptype,tp,sf,cp,lsp
264.32715,0.91274863,0.5342528,0.8811921,0.0,2016-01-01 00:00:00,5.0,2.1931937e-06,2.3625553e-06,0.0,2.1931937e-06
264.71094,0.84529865,0.77967453,0.49320745,0.0,2016-01-01 01:00:00,5.0,2.7841106e-06,2.944019e-06,0.0,2.7841106e-06
264.98218,0.9501188,0.9501188,0.08289391,0.0,2016-01-01 02:00:00,5.0,4.0050463e-06,4.047988e-06,0.0,4.0050463e-06
266.15088,0.9885259,0.9885259,0.0,0.0,2016-01-01 03:00:00,5.0,5.7790903e-06,5.8480664e-06,0.0,5.7790903e-06
266.57983,0.9928871,0.9928871,0.0,0.0,2016-01-01 04:00:00,5.0,8.754193e-06,8.687377e-06,0.0,8.754193e-06
266.56104,0.99604,0.99604,0.0,0.0,2016-01-01 05:00:00,5.0,9.402145e-06,9.411759e-06,0.0,9.402145e-06
266.57642,0.9931373,0.9931373,0.0,0.0,2016-01-01 06:00:00,5.0,9.955894e-06,1.0032161e-05,0.0,9.955894e-06
266.4402,0.9978792,0.9978792,0.0,0.0,2016-01-01 07:00:00,5.0,7.055769e-06,7.203982e-06,0.0,7.055769e-06
266.25073,0.99946827,0.99946827,0.0,0.0,2016-01-01 08:00:00,5.0,7.953049e-06,7.943274e-06,0.0,7.953049e-06
266.13257,1.0,1.0,0.0,0.0,2016-01-01 09:00:00,5.0,6.5411223e-06,6.5649956e-06,0.0,6.5411223e-06
265.20337,0.9055546,0.9055546,0.0067320913,0.0,2016-01-01 10:00:00,5.0,4.0806663e-06,4.0806663e-06,0.0,4.0806663e-06
265.12354,0.4495411,0.4495411,0.0,0.0,2016-01-01 11:00:00,5.0,1.8496621e-06,1.782847e-06,0.0,1.8496621e-06
264.8225,0.29193228,0.07300758,0.18418843,0.08498627,2016-01-01 12:00:00,5.0,5.7233285e-07,5.8162493e-07,0.0,5.7233285e-07
264.53613,0.9310385,0.026727784,0.8398813,0.79702145,2016-01-01 13:00:00,0.0,0.0,2.8519953e-08,0.0,0.0
264.7412,0.99841094,0.018346336,0.9973536,0.98997605,2016-01-01 14:00:00,0.0,0.0,0.0,0.0,0.0
266.55542,1.0,0.018346336,1.0,1.0,2016-01-01 15:00:00,0.0,0.0,0.0,0.0,0.0
267.9143,0.998375,0.014723916,0.99675006,0.6186925,2016-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0
269.1958,0.6402731,0.00053172023,0.6376375,0.050475262,2016-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0
270.5498,0.059259832,0.0,0.059259832,0.0,2016-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0
271.49585,0.21426141,0.21372974,0.00053172023,0.0,2016-01-01 19:00:00,5.0,0.0,0.0,0.0,0.0
272.16284,0.6623938,0.6623938,0.0,0.0,2016-01-01 20:00:00,5.0,0.0,2.3873934e-08,0.0,0.0
272.56665,0.4998237,0.4998237,0.0,0.0,2016-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0
271.16724,0.3457116,0.3457116,0.0,0.0,2016-01-01 22:00:00,5.0,0.0,0.0,0.0,0.0
269.9231,0.22632295,0.22632295,0.0,0.0,2016-01-01 23:00:00,5.0,0.0,1.1936965e-08,0.0,0.0
269.27197,0.3324334,0.3324334,0.0,0.0,2016-01-02 00:00:00,5.0,0.0,1.3114624e-07,0.0,0.0
268.89014,0.5467946,0.5467946,0.0,0.0,2016-01-02 01:00:00,5.0,9.549569e-08,3.2910788e-07,0.0,4.7683716e-07
268.58105,0.5473128,0.5473128,0.0,0.0,2016-01-02 02:00:00,5.0,9.536743e-07,6.4844033e-07,0.0,9.536743e-07
267.47754,0.41069442,0.41069442,0.0,0.0,2016-01-02 03:00:00,5.0,6.864127e-07,7.676496e-07,0.0,6.864127e-07
267.24,0.35868233,0.35868233,0.0,0.0,2016-01-02 04:00:00,5.0,1.2209357e-06,1.1541197e-06,0.0,1.2209357e-06
267.18042,0.2711023,0.2711023,0.0,0.0,2016-01-02 05:00:00,5.0,2.1560254e-06,2.2274871e-06,0.0,2.1560254e-06
266.9475,0.20835555,0.20835555,0.0,0.0,2016-01-02 06:00:00,5.0,9.350902e-07,9.777086e-07,0.0,9.350902e-07
266.42944,0.10715908,0.10715908,0.0,0.0,2016-01-02 07:00:00,0.0,0.0,6.6815346e-08,0.0,0.0
265.7744,0.030274194,0.030274194,0.0,0.0,2016-01-02 08:00:00,0.0,0.0,0.0,0.0,0.0
264.98804,0.0010573287,0.0010573287,0.0,0.0,2016-01-02 09:00:00,0.0,0.0,0.0,0.0,0.0
263.15552,0.0,0.0,0.0,0.0,2016-01-02 10:00:00,0.0,0.0,0.0,0.0,0.0
262.9673,0.0,0.0,0.0,0.0,2016-01-02 11:00:00,0.0,0.0,0.0,0.0,0.0
262.7876,0.0,0.0,0.0,0.0,2016-01-02 12:00:00,0.0,0.0,0.0,0.0,0.0
262.9756,0.0,0.0,0.0,0.0,2016-01-02 13:00:00,0.0,0.0,0.0,0.0,0.0
263.15063,0.0,0.0,0.0,0.0,2016-01-02 14:00:00,0.0,0.0,0.0,0.0,0.0
265.46387,0.0,0.0,0.0,0.0,2016-01-02 15:00:00,0.0,0.0,0.0,0.0,0.0
267.1643,0.0,0.0,0.0,0.0,2016-01-02 16:00:00,0.0,0.0,0.0,0.0,0.0
268.95264,0.0,0.0,0.0,0.0,2016-01-02 17:00:00,0.0,0.0,0.0,0.0,0.0
270.50098,0.0,0.0,0.0,0.0,2016-01-02 18:00:00,0.0,0.0,0.0,0.0,0.0
271.62085,0.0,0.0,0.0,0.0,2016-01-02 19:00:00,0.0,0.0,0.0,0.0,0.0
272.38843,0.0,0.0,0.0,0.0,2016-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0
273.30322,0.0,0.0,0.0,0.0,2016-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0
272.0249,0.00053172023,0.00053172023,0.0,0.0,2016-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0
271.05103,0.00053172023,0.00053172023,0.0,0.0,2016-01-02 23:00:00,0.0,0.0,0.0,0.0,0.0
270.3247,0.00053172023,0.00053172023,0.0,0.0,2016-01-03 00:00:00,0.0,0.0,0.0,0.0,0.0
269.8689,0.02008253,0.02008253,0.0,0.0,2016-01-03 01:00:00,5.0,2.2815959e-07,2.4306456e-07,0.0,3.813414e-07
269.74292,0.14540005,0.14540005,0.0,0.0,2016-01-03 02:00:00,5.0,9.536743e-07,7.8687754e-07,0.0,7.8190845e-07
269.4807,0.6161323,0.6161323,0.0,0.0,2016-01-03 03:00:00,5.0,9.536743e-07,1.2683604e-06,0.0,1.4305115e-06
269.88257,0.97883826,0.97883826,0.0,0.0,2016-01-03 04:00:00,5.0,2.3264993e-06,2.1071482e-06,0.0,2.2310032e-06
269.7268,1.0,1.0,0.0,0.0,2016-01-03 05:00:00,5.0,2.0983398e-06,1.9501267e-06,0.0,1.7355824e-06
269.48535,1.0,1.0,0.0,0.0,2016-01-03 06:00:00,5.0,1.3356566e-06,1.165813e-06,0.0,1.086979e-06
269.68604,1.0,1.0,0.0,0.0,2016-01-03 07:00:00,5.0,2.6129865e-06,2.8560507e-06,0.0,2.6129865e-06
269.44897,0.9989426,0.9989426,0.0,0.0,2016-01-03 08:00:00,5.0,3.2430053e-06,3.462519e-06,0.0,3.4147715e-06
269.7473,0.9947011,0.9947011,0.0,0.0,2016-01-03 09:00:00,5.0,2.7475844e-06,3.231552e-06,0.0,3.2244216e-06
269.70728,0.9546856,0.9546856,0.0,0.0,2016-01-03 10:00:00,5.0,2.80527e-06,2.8432423e-06,0.0,2.80527e-06
269.50757,0.85382146,0.85382146,0.0,0.0,2016-01-03 11:00:00,5.0,2.5380086e-06,2.2564072e-06,0.0,2.5380086e-06
269.48218,0.7889349,0.7889349,0.0,0.0,2016-01-03 12:00:00,5.0,2.7084825e-06,2.7158549e-06,0.0,2.5944028e-06
269.3689,0.86734766,0.86734766,0.0,0.0,2016-01-03 13:00:00,5.0,3.5089752e-06,3.470841e-06,0.0,3.5089752e-06
269.0542,0.8496292,0.8496292,0.0,0.0,2016-01-03 14:00:00,5.0,5.4349075e-06,5.5039654e-06,0.0,5.3394115e-06
269.6797,0.793612,0.793612,0.0,0.0,2016-01-03 15:00:00,5.0,6.063634e-06,6.0112407e-06,0.0,6.063634e-06
270.08887,0.5129944,0.5129944,0.0,0.0,2016-01-03 16:00:00,5.0,4.4632907e-06,4.4224307e-06,0.0,4.4632907e-06
270.5381,0.63821954,0.63821954,0.0,0.0,2016-01-03 17:00:00,5.0,3.071881e-06,3.2293856e-06,0.0,3.071881e-06
270.74097,0.62252647,0.62252647,0.0,0.0,2016-01-03 18:00:00,5.0,1.3170729e-06,1.3239605e-06,0.0,1.3170729e-06
271.00757,0.4948582,0.4948582,0.0,0.0,2016-01-03 19:00:00,5.0,9.549569e-08,5.9684794e-08,0.0,9.549569e-08
271.07642,0.6703227,0.6703227,0.0,0.0,2016-01-03 20:00:00,5.0,0.0,0.0,0.0,0.0
271.38306,0.6236386,0.6236386,0.0,0.0,2016-01-03 21:00:00,5.0,0.0,0.0,0.0,0.0
271.01514,0.256743,0.256743,0.0,0.0,2016-01-03 22:00:00,0.0,0.0,3.5810903e-08,0.0,0.0
270.16016,0.08985734,0.08985734,0.0,0.0,2016-01-03 23:00:00,0.0,0.0,7.394476e-08,0.0,0.0
269.64795,0.063543975,0.063543975,0.0,0.0,2016-01-04 00:00:00,5.0,0.0,1.1936965e-08,0.0,0.0
269.53467,0.21533221,0.21533221,0.0,0.0,2016-01-04 01:00:00,5.0,0.0,6.192761e-08,0.0,0.0
269.62134,0.1259141,0.1259141,0.0,0.0,2016-01-04 02:00:00,0.0,0.0,1.9771988e-07,0.0,1.14079796e-07
268.73584,0.09507918,0.09507918,0.0,0.0,2016-01-04 03:00:00,5.0,2.2815959e-07,2.9778147e-07,0.0,1.14079796e-07
268.3352,0.066927195,0.066927195,0.0,0.0,2016-01-04 04:00:00,5.0,5.9091695e-07,6.671046e-07,0.0,5.9091695e-07
267.9541,0.11460441,0.11460441,0.0,0.0,2016-01-04 05:00:00,5.0,8.004925e-07,7.768603e-07,0.0,8.004925e-07
267.93115,0.20711493,0.20711493,0.0,0.0,2016-01-04 06:00:00,5.0,1.372825e-06,8.318189e-07,0.0,4.191511e-07
267.875,0.38037068,0.38037068,0.0,0.0,2016-01-04 07:00:00,5.0,2.2815959e-07,3.861478e-07,0.0,2.2815959e-07
267.6311,0.525404,0.525404,0.0,0.0,2016-01-04 08:00:00,5.0,1.1818338e-06,1.0055846e-06,0.0,1.1818338e-06
268.08472,0.65574384,0.65574384,0.0,0.0,2016-01-04 09:00:00,5.0,2.2815959e-07,6.5773236e-07,0.0,8.5817857e-07
263.239,0.74457425,0.74457425,0.0,0.0,2016-01-04 10:00:00,5.0,6.864127e-07,7.722956e-07,0.0,6.864127e-07
262.95044,0.79227924,0.79227924,0.0,0.0,2016-01-04 11:00:00,5.0,1.372825e-06,1.5066162e-06,0.0,1.3542412e-06
263.27124,0.8043565,0.8043565,0.0,0.0,2016-01-04 12:00:00,5.0,1.9829677e-06,2.0884017e-06,0.0,2.0406533e-06
263.0459,0.75301063,0.75301063,0.0,0.0,2016-01-04 13:00:00,5.0,1.3542412e-06,1.5734313e-06,0.0,1.468321e-06
263.39014,0.6490898,0.6490898,0.0,0.0,2016-01-04 14:00:00,5.0,1.3542412e-06,1.1587636e-06,0.0,1.2587452e-06
264.47144,0.58919996,0.58919996,0.0,0.0,2016-01-04 15:00:00,5.0,9.536743e-07,8.772438e-07,0.0,1.0491694e-06
265.6797,0.63665307,0.63665307,0.0,0.0,2016-01-04 16:00:00,5.0,6.101426e-07,6.0085284e-07,0.0,9.536743e-07
266.79688,0.6368365,0.6368365,0.0,0.0,2016-01-04 17:00:00,5.0,6.101426e-07,7.487425e-07,0.0,1.1446655e-06
267.7478,0.5106047,0.5106047,0.0,0.0,2016-01-04 18:00:00,5.0,0.0,1.2882322e-07,0.0,0.0
268.48364,0.6647604,0.6647604,0.0,0.0,2016-01-04 19:00:00,5.0,9.536743e-07,8.223665e-07,0.0,6.864127e-07
268.7744,0.64995646,0.64995646,0.0,0.0,2016-01-04 20:00:00,5.0,3.050713e-07,4.0537572e-07,0.0,4.7683716e-07
269.3562,0.54948694,0.54948694,0.0,0.0,2016-01-04 21:00:00,5.0,2.6726156e-07,1.8602464e-07,0.0,0.0
268.02173,0.3908463,0.3908463,0.0,0.0,2016-01-04 22:00:00,5.0,3.627573e-07,3.0058794e-07,0.0,2.6726156e-07
267.4077,0.37000507,0.37000507,0.0,0.0,2016-01-04 23:00:00,5.0,9.536743e-07,7.106097e-07,0.0,9.536743e-07
266.53516,0.45790952,0.45628452,0.0,0.017036323,2016-01-05 00:00:00,5.0,9.536743e-07,7.1525574e-07,0.0,9.536743e-07
266.31372,0.63370794,0.6028769,0.0,0.11250591,2016-01-05 01:00:00,5.0,9.536743e-07,7.484217e-07,0.0,5.9091695e-07
266.37817,0.60709697,0.56069434,0.0,0.20472986,2016-01-05 02:00:00,5.0,9.536743e-07,7.867171e-07,0.0,9.536743e-07
266.47754,0.64832056,0.52665865,0.0,0.34839875,2016-01-05 03:00:00,5.0,9.536743e-07,1.0680769e-06,0.0,9.536743e-07
266.35303,0.76086426,0.50120157,0.0,0.6098649,2016-01-05 04:00:00,5.0,1.7163566e-06,1.4162524e-06,0.0,1.7163566e-06
266.16504,0.70986277,0.54552907,0.0,0.3814453,2016-01-05 05:00:00,5.0,1.7163566e-06,1.6261511e-06,0.0,1.7163566e-06
265.93994,0.62883276,0.5527108,0.0,0.14617246,2016-01-05 06:00:00,5.0,1.7163566e-06,1.4925199e-06,0.0,1.6977729e-06
265.72485,0.48533964,0.4733339,0.0,0.0143767,2016-01-05 07:00:00,5.0,1.7554585e-06,1.7935936e-06,0.0,1.7554585e-06
265.61084,0.40083253,0.40083253,0.0,0.0,2016-01-05 08:00:00,5.0,2.0227199e-06,2.1132491e-06,0.0,2.1944861e-06
265.6814,0.53395694,0.48345906,0.0,0.06061553,2016-01-05 09:00:00,5.0,1.9272247e-06,1.8318888e-06,0.0,1.9272247e-06
267.15942,0.5700893,0.5481878,0.0,0.03271566,2016-01-05 10:00:00,5.0,1.5458827e-06,1.5744026e-06,0.0,1.5458827e-06
267.21777,0.64114004,0.5707886,0.0,0.14072812,2016-01-05 11:00:00,5.0,1.6599633e-06,1.6697386e-06,0.0,1.6599633e-06
267.2339,0.7317481,0.6185409,0.0,0.26378548,2016-01-05 12:00:00,5.0,1.1831262e-06,1.378603e-06,0.0,1.392701e-06
267.30078,0.6119215,0.5153013,0.0,0.14901,2016-01-05 13:00:00,5.0,9.158646e-07,9.777104e-07,0.0,9.158646e-07
267.16333,0.48533446,0.45949465,0.0,0.03323418,2016-01-05 14:00:00,5.0,2.6726156e-07,4.6738472e-07,0.0,3.813414e-07
268.4226,0.27635485,0.2747658,0.0,0.0015890491,2016-01-05 15:00:00,5.0,0.0,2.1454463e-07,0.0,0.0
269.0027,0.10274458,0.028674677,0.0,0.07406986,2016-01-05 16:00:00,0.0,0.0,1.1920929e-07,0.0,0.0
270.09888,0.0029026829,0.0029026829,0.0,0.0,2016-01-05 17:00:00,0.0,0.0,0.0,0.0,0.0
270.864,0.014645416,0.0033782488,0.0,0.011267167,2016-01-05 18:00:00,0.0,0.0,0.0,0.0,0.0
271.125,0.12311566,0.005003199,0.0,0.12311566,2016-01-05 19:00:00,0.0,0.0,0.0,0.0,0.0
271.28857,0.4919834,0.031198695,0.0,0.4862513,2016-01-05 20:00:00,0.0,0.0,0.0,0.0,0.0
271.57202,0.77149755,0.017838452,0.0,0.76860094,2016-01-05 21:00:00,0.0,0.0,0.0,0.0,0.0
270.8047,0.7088161,0.020520732,0.0032499009,0.7020034,2016-01-05 22:00:00,0.0,0.0,0.0,0.0,0.0
