date_time,year,month,day,hour,day_of_week,holiday,traffic_volume,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,weather_condition,is_holiday
2012-10-02 09:00:00,2012,10,2,9,Tuesday,None,5545,288.28,0.0,0.0,40,Clouds,scattered clouds,Good weather,Non-holiday
2012-10-02 10:00:00,2012,10,2,10,Tuesday,None,4516,289.36,0.0,0.0,75,Clouds,broken clouds,Good weather,Non-holiday
2012-10-02 11:00:00,2012,10,2,11,Tuesday,None,4767,289.58,0.0,0.0,90,Clouds,overcast clouds,Good weather,Non-holiday
2012-10-02 12:00:00,2012,10,2,12,Tuesday,None,5026,290.13,0.0,0.0,90,Clouds,overcast clouds,Good weather,Non-holiday
2012-10-02 13:00:00,2012,10,2,13,Tuesday,None,4918,291.14,0.0,0.0,75,Clouds,broken clouds,Good weather,Non-holiday
2012-10-02 14:00:00,2012,10,2,14,Tuesday,None,5181,291.72,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-02 15:00:00,2012,10,2,15,Tuesday,None,5584,293.17,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-02 16:00:00,2012,10,2,16,Tuesday,None,6015,293.86,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-02 17:00:00,2012,10,2,17,Tuesday,None,5791,294.14,0.0,0.0,20,Clouds,few clouds,Good weather,Non-holiday
2012-10-02 18:00:00,2012,10,2,18,Tuesday,None,4770,293.1,0.0,0.0,20,Clouds,few clouds,Good weather,Non-holiday
2012-10-02 19:00:00,2012,10,2,19,Tuesday,None,3539,290.97,0.0,0.0,20,Clouds,few clouds,Good weather,Non-holiday
2012-10-02 20:00:00,2012,10,2,20,Tuesday,None,2784,289.38,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-02 21:00:00,2012,10,2,21,Tuesday,None,2361,288.61,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-02 22:00:00,2012,10,2,22,Tuesday,None,1529,287.16,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
2012-10-02 23:00:00,2012,10,2,23,Tuesday,None,963,285.45,0.0,0.0,1,Clear,sky is clear,Good weather,Non-holiday
